displacement,cylinders,horsepower,weight,acceleration,model_year,origin,Model,Highest_Sale_Country,Popularity_Gender,mpg
307,8,130,3504,12,70,1,Nissan Altima,China,Female,18
350,8,165,3693,11.5,70,1,Dodge Charger,Peru,Male,15
318,8,150,3436,11,70,1,Toyota Corolla,New Zealand,Both,18
304,8,150,3433,12,70,1,Chevrolet Camaro,Australia,Male,16
302,8,140,3449,10.5,70,1,Chevrolet Camaro,Portugal,Male,17
429,8,198,4341,10,70,1,Volkswagen Golf,Portugal,Both,15
454,8,220,4354,9,70,1,Mazda 3,South Africa,Male,14
440,8,215,4312,8.5,70,1,Porsche 911,Italy,Female,14
455,8,225,4425,10,70,1,Land Rover Discovery,India,Both,14
390,8,190,3850,8.5,70,1,BMW 3 Series,Chile,Male,15
383,8,170,3563,10,70,1,Mercedes-Benz C-Class,New Zealand,Both,15
340,8,160,3609,8,70,1,Nissan Altima,Sweden,Both,14
400,8,150,3761,9.5,70,1,Honda Civic,UK,Female,15
455,8,225,3086,10,70,1,Mercedes-Benz C-Class,Argentina,Both,14
113,4,95,2372,15,70,3,Volkswagen Golf,Brazil,Both,24
198,6,95,2833,15.5,70,1,Jeep Grand Cherokee,Turkey,Both,22
199,6,97,2774,15.5,70,1,GMC Terrain,Belgium,Both,18
200,6,85,2587,16,70,1,,South Korea,Both,21
97,4,88,2130,14.5,70,3,Chrysler 300,Japan,Male,27
97,4,46,1835,20.5,70,2,Subaru Impreza,Germany,Both,26
110,4,87,2672,17.5,70,2,Mazda 3,Australia,Male,25
107,4,90,2430,,70,2,Lexus RX,UK,Male,24
104,4,95,2375,17.5,70,2,Porsche 911,Brazil,Female,25
121,4,113,2234,12.5,70,2,Buick Regal,Canada,Female,26
199,6,90,2648,15,70,1,Porsche 911,United Arab Emirates,Both,21
360,8,215,4615,14,70,1,Audi A4,Germany,Female,10
307,8,200,4376,15,70,1,Dodge Charger,Belgium,Male,10
318,8,210,4382,13.5,70,1,Dodge Charger,USA,Both,11
304,8,193,4732,18.5,70,1,Toyota Corolla,Spain,Female,9
97,4,88,2130,14.5,71,3,Land Rover Discovery,Israel,Male,27
140,4,90,,15.5,71,1,Chevrolet Camaro,United Arab Emirates,Female,28
113,4,95,2228,14,71,3,GMC Terrain,Canada,Both,25
98,4,,2046,19,71,1,Porsche 911,UK,Female,25
232,6,100,2634,13,71,1,Porsche 911,France,Both,19
225,6,105,3439,15.5,71,1,Porsche 911,Italy,Both,16
250,6,100,3329,15.5,71,1,Jeep Grand Cherokee,UK,Female,17
250,6,88,3302,15.5,71,1,Volkswagen Golf,,Both,19
232,6,100,3288,15.5,71,1,Toyota Corolla,Saudi Arabia,Both,18
350,8,165,4209,12,71,1,Honda Civic,China,Both,14
400,8,175,4464,11.5,71,1,Mazda 3,Chile,Both,14
351,8,153,4154,13.5,71,1,Toyota Corolla,Germany,Female,14
318,8,150,4096,13,71,1,Hyundai Elantra,Chile,Both,14
383,8,180,4955,11.5,71,1,Lexus RX,Canada,Both,12
400,8,170,4746,12,71,1,Chevrolet Camaro,United Arab Emirates,Both,13
400,8,175,5140,12,71,1,Kia Soul,USA,Both,13
258,6,110,2962,13.5,71,1,Land Rover Discovery,Israel,Male,18
140,4,72,2408,19,71,1,Ford Mustang,Russia,Female,22
250,6,100,3282,15,71,1,Toyota Corolla,Argentina,Female,19
250,6,88,3139,14.5,71,1,Toyota Corolla,India,Male,18
122,4,86,2220,14,71,1,BMW 3 Series,Thailand,Female,23
116,4,90,2123,14,71,2,Audi A4,France,Male,28
79,4,70,2074,19.5,71,2,Mercedes-Benz C-Class,Germany,Female,30
88,4,76,2065,14.5,71,2,Subaru Impreza,Spain,Female,30
71,4,65,1773,19,71,3,Lexus RX,Colombia,Both,31
72,4,69,1613,18,71,3,GMC Terrain,Peru,Male,35
97,4,60,1834,19,71,2,Dodge Charger,China,Male,27
91,4,70,1955,20.5,71,1,BMW 3 Series,Malaysia,Female,26
113,4,95,2278,15.5,72,3,Mazda 3,South Africa,Male,24
97.5,4,80,2126,17,72,1,Hyundai Elantra,Spain,Both,25
97,4,54,2254,23.5,72,2,Honda Civic,UK,Female,23
140,4,90,2408,19.5,72,1,Honda Civic,Thailand,Female,20
122,4,86,2226,16.5,72,1,Volkswagen Golf,New Zealand,Both,21
350,8,165,4274,12,72,1,Mazda 3,Brazil,Male,13
400,8,175,4385,12,72,1,Chevrolet Camaro,UK,Male,14
318,8,150,4135,13.5,72,1,Mercedes-Benz C-Class,Italy,Female,15
351,8,153,4129,13,72,1,Kia Soul,South Africa,Female,14
304,8,150,3672,11.5,72,1,Jeep Grand Cherokee,Spain,Both,17
429,8,208,4633,11,72,1,Land Rover Discovery,Argentina,Male,11
350,8,155,4502,13.5,72,1,Toyota Corolla,Portugal,Male,13
350,8,160,4456,13.5,72,1,Jeep Grand Cherokee,USA,Male,12
400,8,190,4422,12.5,72,1,Chevrolet Camaro,France,Both,13
70,3,97,2330,13.5,72,3,Nissan Altima,New Zealand,Both,19
304,8,150,3892,12.5,72,1,Hyundai Elantra,Australia,Female,15
307,8,130,4098,14,72,1,Lexus RX,Peru,Female,13
302,8,140,4294,16,72,1,Kia Soul,India,Female,13
318,8,150,4077,14,72,1,BMW 3 Series,Argentina,Female,14
121,4,112,2933,14.5,72,2,Mercedes-Benz C-Class,Spain,Male,18
121,4,76,2511,18,72,2,BMW 3 Series,Thailand,Male,22
120,4,87,2979,19.5,72,2,Dodge Charger,France,Male,21
96,4,69,2189,18,72,2,Lexus RX,Chile,Male,26
122,4,86,2395,16,72,1,Chevrolet Camaro,China,Both,22
97,4,92,2288,17,72,3,Nissan Altima,Australia,Both,28
120,4,97,2506,14.5,72,3,BMW 3 Series,Mexico,Male,23
98,4,80,2164,15,72,1,Lexus RX,USA,Female,28
97,4,88,2100,16.5,72,3,Subaru Impreza,China,Male,27
350,8,175,4100,13,73,1,Jeep Grand Cherokee,Argentina,Female,13
304,8,150,3672,11.5,73,1,Dodge Charger,Italy,Both,14
350,8,145,3988,13,73,1,Lexus RX,Saudi Arabia,Both,13
302,8,137,4042,14.5,73,1,Chevrolet Camaro,South Korea,Female,14
318,8,150,3777,12.5,73,1,Dodge Charger,Argentina,Male,15
429,8,198,4952,11.5,73,1,Chrysler 300,Japan,Male,12
400,8,150,4464,12,73,1,Buick Regal,New Zealand,Female,13
351,8,158,4363,13,73,1,GMC Terrain,Singapore,Male,13
318,8,150,4237,14.5,73,1,Audi A4,USA,Male,14
440,8,215,4735,11,73,1,Mazda 3,Argentina,Both,13
455,8,225,4951,11,73,1,Chevrolet Camaro,United Arab Emirates,Female,12
360,8,175,3821,11,73,1,Toyota Corolla,Mexico,Male,13
225,6,105,3121,16.5,73,1,Audi A4,USA,Both,18
250,6,100,3278,18,73,1,Toyota Corolla,Argentina,Male,16
232,6,100,2945,16,73,1,GMC Terrain,Italy,Male,18
250,6,88,3021,16.5,73,1,Land Rover Discovery,Germany,Female,18
198,6,95,2904,16,73,1,BMW 3 Series,Brazil,Male,23
97,4,46,1950,21,73,2,Ford Mustang,New Zealand,Both,26
400,8,150,4997,14,73,1,Buick Regal,Saudi Arabia,Male,11
400,8,167,4906,12.5,73,1,Chevrolet Camaro,Turkey,Female,12
